ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
776,DENARC - PORTO VELHO,2a DRE,NÚCLEO DE INTELIGÊNCIA,26271,707849,,ARMÁRIO / BALCÃO EM INOX,1.2.3.1.1.01.06,"ARMÁRIO MÉDIO ESTRUTURAL TIPO ESTANTE MED.
800X500X600X1060MM
Dt. aquisição: 29/10/2009",BOM,"R$                                 455,00"
ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
777,DENARC - PORTO VELHO,1a E 2a DRE,DEPÓSITO,7854,707229,,ARMÁRIO / BALCÃO EM INOX,1.2.3.1.1.01.06,"ARMÁRIO EM AÇO PANDIN TIPO GUARDA-ROUPA COM 02
PORTAS E 04 PRATELEIRAS NA COR CINZA
Dt. aquisição: 24/06/1985",BOM,"R$                                 117,00"
778,DEI- DRACO - PORTO VELHO,"NÚCLEO DE
ADMINISTRAÇÃO",,40886,712068,,ARMÁRIO / BALCÃO EM INOX,1.2.3.1.1.01.06,"ARMARIO ARTILINE TIPO ESTANTE,C/02 PORTAS BAIXAS,PARTE
SUPERIOR ABERTA MED.900X1600X500MM
Dt. aquisição: 17/02/2012
Convenio: FUNRESPOL PC",BOM,"R$                                 525,00"
779,"CENTRAL DE POLÍCIA - PORTO
VELHO","GABINETE - DELEGADO
ADJUNTO",,16652,624255,,ARMÁRIO PARA BANHEIRO,1.2.3.1.1.03.03,"ARMÁRIO ALTO MOBRAN MED. 90X50X163CM
Dt. aquisição: 12/12/2008
Convênio: FUNRESPOL PC",BOM,"R$                                 650,00"
780,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,12760,552091,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 02 GAVETAS  NA COR CINZA - MARCA
PANDIN
Dt. aquisição: 05/11/1990",BOM,"R$                                208,00"
781,DINTEL,GABINETE DO DIRETOR,,2198,627272,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS COM CHAVE - MARCA WCM
Dt. aquisição: 05/12/2002",REGULAR,"R$                                 119,00"
782,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,40943,562247,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO COM 04 GAVETAS E NICHO NA PARTE SUPERIOR -
MARCA ARTILINE  - MODELO
MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 367,15"
783,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",DELEGADO TITULAR,,40944,562271,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO COM 04 GAVETAS E NICHO NA PARTE SUPERIOR -
MARCA ARTILINE  - MODELO
MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 367,15"
784,JARU - DELEGACIA REGIONAL,DEPÓSITO REGIONAL,,8624,427927,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS MOD. OE-4
Dt. aquisição: 21/07/1986
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",REGULAR,"R$                                  6 3,00"
785,"MIRANTE DA SERRA - DELEGACIA DE
POLÍCIA CIVIL",DEPÓSITO,,8616,460132,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/ 04 GAVETAS MOD. OE-4
Dt. aquisição: 21/07/1986
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/ SSP",REGULAR,"R$                                  7 9,10"
786,"JI-PARANÁ - DELEGACIA DE
HOMICÍDIOS",CARTÓRIO,,4194,447510,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO SECURIT COM 04 GAVETAS NA COR CINZA
MOD. BANDEIRANTES
Dt. aquisição: 16/05/1977
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",REGULAR,"R$                                  7 8,40"
787,JI-PARANÁ - DEAM,DEPÓSITO,,10263,450283,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO C/ 05 GAVETAS PANDIN
Dt. aquisição: 15/04/1989
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",BOM,"R$                                146,90"
788,JI-PARANÁ - DEAM,DEPÓSITO,,10265,450290,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO C/ 05 GAVETAS PANDIN
Dt. aquisição: 15/04/1989
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",BOM,"R$                                146,90"
789,JI-PARANÁ - DEAM,DEPÓSITO,,10264,450295,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO C/ 05 GAVETAS PANDIN
Dt. aquisição: 15/04/1989
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",BOM,"R$                                146,90"
790,"JI-PARANÁ - DELEGACIA DE
HOMICÍDIOS",NÚCLEO DE INTELIGÊNCIA,,8627,447346,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/ 04 GAVETAS MOD. OE-04
Dt. aquisição: 21/07/1986
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",REGULAR,"R$                                  7 8,40"
791,JI-PARANÁ - DEAM,DEPÓSITO,,8626,449989,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/ 04 GAVETAS MOD. OE-04
Dt. aquisição: 21/07/1986",BOM,"R$                                136,50"
792,"MIRANTE DA SERRA - DELEGACIA DE
POLÍCIA CIVIL",CORREDOR,,8617,460146,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/ 04 GAVETAS MOD. OE-4
Dt. aquisição: 21/07/1986
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/ SSP",REGULAR,"R$                                  7 9,10"
793,"MIRANTE DA SERRA - DELEGACIA DE
POLÍCIA CIVIL",CARTÓRIO,,10195,460281,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS
Dt. aquisição: 23/08/1988
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/ SSP",BOM,"R$                                146,90"
794,ROLIM DE MOURA - DEAM,ÁREA EXTERNA,,12817,475680,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN C/ 04 GAVETAS
Dt. aquisição: 18/10/1990
Convênio: CONVÊNIO 003/2010-SENASP/MJ",BOM,"R$                                 221,00"
795,ROLIM DE MOURA - DEAM,ÁREA EXTERNA,,11578,475423,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN COM 04 GAVETAS
Dt. aquisição: 09/07/1990
Convênio: CONVÊNIO 003/2010-SENASP/MJ",BOM,"R$                                 156,00"
796,"SÃO MIGUEL - DELEGACIA DE
POLÍCIA CIVIL","DEPÓSITO DA
ADMINISTRAÇÃO",,950,479457,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO WCM C/ 4 GAVETAS P/ PASTA SUSPENSA
Dt. aquisição: 07/03/2005",REGULAR,"R$                                  5 6,00"
797,"SÃO MIGUEL - DELEGACIA DE
POLÍCIA CIVIL",ADMINISTRAÇÃO,,40904,481806,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO ARTILINE  C/ 04 GAVETAS E NICHO NA PARTE
SUPERIOR MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convenio: FUNRESPOL PC",BOM,"R$                                367,50"
ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
798,"SANTA LUZIA - DELEGACIA DE
POLÍCIA CIVIL",CARTÓRIO,,11631,507261,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN COM 04 GAVETAS
Dt. aquisição: 06/07/1990
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",BOM,"R$                                 146,90"
799,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",DEPÓSITO,,5263,509459,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO
NÃO HÁ MAIS ESPECIFICAÇÕES NA PLANILHA E NO SISTEMA
SGA.",REGULAR,"R$                                 197,75"
800,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",ADMINISTRAÇÃO,,6308,509593,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/04 GAVETAS MOD. 04
Dt. aquisição: 12/12/1983
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",REGULAR,"R$                                  7 9,10"
801,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",ADMINISTRAÇÃO,,12762,509999,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN C/02 GAVETAS
Dt. aquisição: 18/10/1990
Convenio: SESDEC",REGULAR,"R$                                  7 9,10"
802,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",COMISSARIADO,,12780,510033,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN C/02 GAVETAS
Dt. aquisição: 18/10/1990
Convenio: CONVENIO 003/2010 - SENASP/MJ",BOM,"R$                                146,90"
803,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",ESCRIVÃO,,12781,510078,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN C/02 GAVETAS
Dt. aquisição: 18/10/1990",REGULAR,"R$                                  7 9,10"
804,"SANTA LUZIA - DELEGACIA DE
POLÍCIA CIVIL",COMISSARIADO,,938,506529,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO WCM C/ 4 GAVETAS P/ PASTA SUSPENSA
Dt. aquisição: 07/03/2005
Convenio: SESDEC",BOM,"R$                                104,00"
805,"SANTA LUZIA - DELEGACIA DE
POLÍCIA CIVIL",RESERVA DE ARMAMENTO,,7813,506739,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO BALFAR C/ 04 GAVETAS NA COR CINZA MOD.
ABOF-4
Dt. aquisição: 11/06/1985
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",REGULAR,"R$                                  7 9,10"
806,"SANTA LUZIA - DELEGACIA DE
POLÍCIA CIVIL",CARTÓRIO,,11630,507239,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN COM 04 GAVETAS
Dt. aquisição: 06/07/1990
Convenio: SECRETARIA DE SEGURANÇA PUBLICA/SSP",BOM,"R$                                 146,90"
807,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",IDENTIFICAÇÃO,,8631,509937,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/04 GAVETAS MOD. CE-04
Dt. aquisição: 21/07/1986",REGULAR,"R$                                  7 9,10"
808,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",CARTÓRIO,,12779,510020,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO PANDIN C/02 GAVETAS
Dt. aquisição: 18/10/1990
CONVENIO: 003/2010-SENASP/MJ",REGULAR,"R$                                  7 9,10"
809,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",SEVIC,,8630,509935,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO ISMA C/04 GAVETAS MOD. CE-04
Dt. aquisição: 21/07/1986",REGULAR,"R$                                  7 9,10"
810,"PRESIDENTE MÉDICI - DELEGACIA
DE POLÍCIA CIVIL",CARTÓRIO,,949,509287,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO WCM C/ 4 GAVETAS P/PASTA SUSPENSA
Dt. aquisição: 07/03/2005
Convenio: SESDEC",BOM,"R$                                 146,90"
811,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL","ALMOXARIFADO DO
CARTÓRIO",,11562,551954,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS NA COR CINZA - MARCA
PANDIN
Dt. aquisição: 09/07/1990",REGULAR,"R$                                112,00"
812,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",COZINHA,,12734,552035,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 02 GAVETAS NA COR CINZA - MARCA
PANDIN
Dt. aquisição: 05/11/1990",BOM,"R$                                169,00"
813,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",DEPÓSITO DO SEVIC,,12759,552046,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS NA COR CINZA - MARCA
PANDIN
Dt. aquisição: 05/11/1990",BOM,"R$                                208,00"
814,CACOAL - DEAM,CARTÓRIO,,40990,545661,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO ARQUIVO C/04 GAVETAS E NICHO NA PARTE
SUPERIOR - MARCA ARTILINE - MODELO MED.480X1600X500MM
Dt. aquisição: 17/02/2012",BOM,"R$                                367,15"
815,CACOAL - DEAM,CARTÓRIO,,40992,545697,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO ARQUIVO C/04 GAVETAS E NICHO NA PARTE
SUPERIOR - MARCA ARTILINE - MODELO MED.480X1600X500MM
Dt. aquisição: 17/02/2012",BOM,"R$                                 367,15"
816,CACOAL - DEAM,SEVIC,,40991,545668,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO ARQUIVO C/04 GAVETAS E NICHO NA PARTE
SUPERIOR - MARCA ARTILINE - MODELO MED.480X1600X500MM
Dt. aquisição: 17/02/2012",BOM,"R$                                 367,15"
817,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL","ALMOXARIFADO DO
CARTÓRIO",,8605,551791,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS  MOD. OE-4
Dt. aquisição: 21/07/1986",REGULAR,"R$                                 112,00"
818,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,12791,551148,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 02 GAVETAS NA COR CINZA - MARCA
PANDIN
Dt. aquisição: 05/11/1990",BOM,"R$                                 221,00"
ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
819,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,7506,551165,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 02 GAVETAS NA COR CINZA - MARCA
PANDIN
Dt. aquisição: 27/03/1985",BOM,"R$                                 221,00"
820,CACOAL - DEAM,CARTÓRIO,,40994,545727,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO ARQUIVO C/04 GAVETAS E NICHO NA PARTE
SUPERIOR - MARCA ARTILINE - MODELO MED.480X1600X500MM
Dt. aquisição: 17/02/2012",BOM,"R$                                 367,15"
821,CACOAL - DEAM,SEVIC,,40993,545707,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO ARQUIVO C/04 GAVETAS E NICHO NA PARTE
SUPERIOR - MARCA ARTILINE - MODELO MED.480X1600X500MM
Dt. aquisição: 17/02/2012",BOM,"R$                                367,15"
822,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,7507,551195,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 02 GAVETAS NA COR CINZA
Dt. aquisição: 05/11/1990",BOM,"R$                                 221,00"
823,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,40942,562259,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO COM 04 GAVETAS E NICHO NA PARTE SUPERIOR -
MARCA ARTILINE  - MODELO
MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 367,15"
824,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SECRETÁRIA,,40939,562222,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO COM 04 GAVETAS E NICHO NA PARTE SUPERIOR -
MARCA ARTILINE  - MODELO
MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 367,15"
825,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SEVIC,,40941,562254,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO COM 04 GAVETAS E NICHO NA PARTE SUPERIOR -
MARCA ARTILINE  - MODELO
MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                367,15"
826,CACOAL - DEAM,CARTÓRIO,,40989,545551,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO ARQUIVO C/04 GAVETAS E NICHO NA PARTE
SUPERIOR - MARCA ARTILINE - MODELO MED.480X1600X500MM
Dt. aquisição: 17/02/2012",BOM,"R$                                367,15"
827,CACOAL - DRACO,CARTÓRIO,,40772,570884,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMARIO ALTO,02 PORTAS,MED.900X1600X500MM ARTILINE
Dt. aquisição: 17/02/2012",BOM,"R$                                 472,50"
828,"PIMENTA BUENO - DELEGACIA
REGIONAL DE POLÍCIA CIVIL",SECRETÁRIA,,40940,562235,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO COM 04 GAVETAS E NICHO NA PARTE SUPERIOR -
MARCA ARTILINE  - MODELO
MED.480X1600X500MM
Dt. aquisição: 17/02/2012
Convênio: CONVÊNIOFUNRESPOL PC",BOM,"R$                                 367,15"
829,DÉCIMA DELEGACIA - NOVA MUTUM,DEPÓSITO 01,,61962,560974,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO EM AÇO
NÃO HÁ MAIS ESPECIFICAÇÕES DO OBJETO NO SGA E NA
PLANILHA.",BOM,"R$                                540,50"
830,DÉCIMA DELEGACIA - NOVA MUTUM,DEPÓSITO 01,,61961,560977,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO EM AÇO
NÃO HÁ MAIS ESPECIFICAÇÕES DO OBJETO NO SGA E NA
PLANILHA.",BOM,"R$                                540,50"
831,"DELEGACIA DE HOMICÍDIOS - PORTO
VELHO",DEPÓSITO,,12695,594066,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 02 GAVETAS MARCA PANDIN NA COR
CINZA
Dt. aquisição: 05/11/1990",BOM,"R$                                 221,00"
832,"DELEGACIA DA MULHER - PORTO
VELHO",DEPÓSITO,,1535,616116,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS MARCA WCM
Dt. aquisição: 10/07/2002",BOM,"R$                                 104,00"
833,"DELEGACIA DA MULHER - PORTO
VELHO",DEPÓSITO,,7377,616117,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO C/ 4 GAVETAS MARCA PANDIN, P/ PASTA
SUSPENSA, NA COR MARFIM
Dt. aquisição: 04/10/2007",BOM,"R$                                 104,00"
834,"DELEGACIA DA MULHER - PORTO
VELHO",SECRETARIA,,1533,616118,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS MARCA WCM
Dt. aquisição: 10/07/2002",BOM,"R$                                 104,00"
835,GRUMAP - PORTO VELHO,DETRANSP,GABINETE,7386,606919,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO PANDIN C/ 4 GAVETAS NA COR MARFIM P/
PASTA SUSPENSA
Dt. aquisição: 04/10/2007",BOM,"R$                                 130,00"
836,GRUMAP - PORTO VELHO,GUARITA,,1069,606848,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO C/ 04 GAVETAS
Dt. aquisição: 27/07/1982",BOM,"R$                                169,00"
837,GRUMAP - PORTO VELHO,ALMOXARIFADO,,2207,606858,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO WCM C/ 04 GAVETAS C/ CHAVE
Dt. aquisição: 05/12/2002",BOM,"R$                                 148,20"
838,GRUMAP - PORTO VELHO,ALMOXARIFADO,,7398,607019,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO PANDIN C/ 4 GAVETAS NA COR MARFIM P/
PASTA SUSPENSA
Dt. aquisição: 04/10/2007
Convenio: SESDEC",BOM,"R$                                130,00"
839,DELEGACIA GERAL - PC RO- PVH,SEVIC DECAME,,7382,599581,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO COM 4 GAVETAS  PARA PASTA SUSPENSA, NA
COR MARFIN - MARCA PANDIN
Dt. aquisição: 04/10/2007
Convênio: SESDEC",BOM,"R$                                221,00"
ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
840,"VILHENA - DEAM E DEL. DO MENOR
INFRATOR",SEVIC,,936,614838,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO COM 4 GAVETAS PARA PASTA SUSPENSA -
MARCA WCM
Dt. aquisição: 07/03/2005",REGULAR,"R$                                  9 1,00"
841,"DELEGACIA DE FURTOS E ROUBOS -
PORTO VELHO",DEPÓSITO,,6288,616380,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO C/ 04 GAVETAS MARCA ISMA MOD.04
Dt. aquisição: 21/12/1983",BOM,"R$                                169,00"
842,DELEGACIA GERAL - PC RO- PVH,DIRETOR DECAME,,7396,598762,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO COM 4 GAVETAS, NA COR MARFIN PARA
PASTA SUSPENSA - MARCA PANDIN
Dt. aquisição: 04/10/2007
Convênio: SESDEC
Obs.: TRANSF. MEMORANDO N.33091/2016/GAF/PC/RO - VirtuaDoc",BOM,"R$                                552,50"
843,"DELEGACIA DA MULHER - PORTO
VELHO",CHEFE DE CARTÓRIO,,26598,616131,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARMÁRIO BAIXO, C/02 PORTAS, MED. 900X420X740MM
Dt. aquisição: 11/11/2009
Convênio: FUNRESPOL PC",BOM,"R$                                169,00"
844,"DELEGACIA DA MULHER - PORTO
VELHO",DEPÓSITO,,29877,616148,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO PARA PASTA SUSPENSA, MARCA PANDIN,
MODELO APOF-43, C/04 GAVETAS,
TAM.OFICIO,MED.161X45,7X40,5
Dt. aquisição: 14/10/2010
Convênio: CONVÊNIO 467/2008-SENASP/MJ",BOM,"R$                                189,80"
845,DELEGACIA GERAL - PC RO- PVH,DEPÓSITO,,2196,609777,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS COM CHAVES - MARCA
WCM
Dt. aquisição: 05/12/2002",BOM,"R$                                221,00"
846,DELEGACIA GERAL - PC RO- PVH,DIRETOR DECAME,,7404,598897,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO EM AÇO COM 4 GAVETAS, NA COR MARFIM PARA
PASTA SUSPENSA - MARCA PANDIN
Dt. aquisição: 04/10/2007",BOM,"R$                                221,00"
847,"DELEGACIA DA MULHER - PORTO
VELHO",CARTÓRIO CORREDOR,,1534,616101,,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,"ARQUIVO DE AÇO COM 04 GAVETAS MARCA WCM
Dt. aquisição: 10/07/2002",BOM,"R$                                104,00"
